Pokedex Number,Name,URL,Type1,Type2,Height,Weight,Base HP,Min HP,Max HP,Base Attack,Min Attack,Max Attack,Base Defense,Min Defense,Max Defense,Base Sp. Attack,Min Sp. Attack,Max Sp. Attack,Base Sp. Defense,Min Sp. Defense,Max Sp. Defense,Base Speed,Min Speed,Max Speed,Base Total,Min Total,Max Total,Legendary,Generation
306,Aggron,https://pokemondb.net/pokedex/aggron,Steel,Rock,2.1,360.0,70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218,530,1098,1896,False,3
307,Meditite,https://pokemondb.net/pokedex/meditite,Fighting,Psychic,0.6,11.2,30,170,264,40,76,196,55,103,229,40,76,196,55,103,229,60,112,240,280,640,1354,False,3
308,Medicham,https://pokemondb.net/pokedex/medicham,Fighting,Psychic,1.3,31.5,60,230,324,60,112,240,75,139,273,60,112,240,75,139,273,80,148,284,410,880,1634,False,3
309,Electrike,https://pokemondb.net/pokedex/electrike,Electric,None,0.6,15.2,40,190,284,45,85,207,40,76,196,65,121,251,40,76,196,65,121,251,295,669,1385,False,3
310,Manectric,https://pokemondb.net/pokedex/manectric,Electric,None,1.5,40.2,70,250,344,75,139,273,60,112,240,105,193,339,60,112,240,105,193,339,475,999,1775,False,3
311,Plusle,https://pokemondb.net/pokedex/plusle,Electric,None,0.4,4.2,60,230,324,50,94,218,40,76,196,85,157,295,75,139,273,95,175,317,405,871,1623,False,3
312,Minun,https://pokemondb.net/pokedex/minun,Electric,None,0.4,4.2,60,230,324,40,76,196,50,94,218,75,139,273,85,157,295,95,175,317,405,871,1623,False,3
313,Volbeat,https://pokemondb.net/pokedex/volbeat,Bug,None,0.7,17.7,65,240,334,73,135,269,75,139,273,47,89,212,85,157,295,85,157,295,430,917,1678,False,3
314,Illumise,https://pokemondb.net/pokedex/illumise,Bug,None,0.6,17.7,65,240,334,47,89,212,75,139,273,73,135,269,85,157,295,85,157,295,430,917,1678,False,3
315,Roselia,https://pokemondb.net/pokedex/roselia,Grass,Poison,0.3,2.0,50,210,304,60,112,240,45,85,207,100,184,328,80,148,284,65,121,251,400,860,1614,False,3
316,Gulpin,https://pokemondb.net/pokedex/gulpin,Poison,None,0.4,10.3,70,250,344,43,81,203,53,99,225,43,81,203,53,99,225,40,76,196,302,686,1396,False,3
317,Swalot,https://pokemondb.net/pokedex/swalot,Poison,None,1.7,80.0,100,310,404,73,135,269,83,153,291,73,135,269,83,153,291,55,103,229,467,989,1753,False,3
318,Carvanha,https://pokemondb.net/pokedex/carvanha,Water,Dark,0.8,20.8,45,200,294,90,166,306,20,40,152,65,121,251,20,40,152,65,121,251,305,688,1406,False,3
319,Sharpedo,https://pokemondb.net/pokedex/sharpedo,Water,Dark,1.8,88.8,70,250,344,120,220,372,40,76,196,95,175,317,40,76,196,95,175,317,460,972,1742,False,3
320,Wailmer,https://pokemondb.net/pokedex/wailmer,Water,None,2.0,130.0,130,370,464,70,130,262,35,67,185,70,130,262,35,67,185,60,112,240,400,876,1598,False,3
321,Wailord,https://pokemondb.net/pokedex/wailord,Water,None,14.5,398.0,170,450,544,90,166,306,45,85,207,90,166,306,45,85,207,60,112,240,500,1064,1810,False,3
322,Numel,https://pokemondb.net/pokedex/numel,Fire,Ground,0.7,24.0,60,230,324,60,112,240,40,76,196,65,121,251,45,85,207,35,67,185,305,691,1403,False,3
323,Camerupt,https://pokemondb.net/pokedex/camerupt,Fire,Ground,1.9,220.0,70,250,344,100,184,328,70,130,262,105,193,339,75,139,273,40,76,196,460,972,1742,False,3
324,Torkoal,https://pokemondb.net/pokedex/torkoal,Fire,None,0.5,80.4,70,250,344,85,157,295,140,256,416,85,157,295,70,130,262,20,40,152,470,990,1764,False,3
325,Spoink,https://pokemondb.net/pokedex/spoink,Psychic,None,0.7,30.6,60,230,324,25,49,163,35,67,185,70,130,262,80,148,284,60,112,240,330,736,1458,False,3
326,Grumpig,https://pokemondb.net/pokedex/grumpig,Psychic,None,0.9,71.5,80,270,364,45,85,207,65,121,251,90,166,306,110,202,350,80,148,284,470,992,1762,False,3
327,Spinda,https://pokemondb.net/pokedex/spinda,Normal,None,1.1,5.0,60,230,324,60,112,240,60,112,240,60,112,240,60,112,240,60,112,240,360,790,1524,False,3
328,Trapinch,https://pokemondb.net/pokedex/trapinch,Ground,None,0.7,15.0,45,200,294,100,184,328,45,85,207,45,85,207,45,85,207,10,22,130,290,661,1373,False,3
329,Vibrava,https://pokemondb.net/pokedex/vibrava,Ground,Dragon,1.1,15.3,50,210,304,70,130,262,50,94,218,50,94,218,50,94,218,70,130,262,340,752,1482,False,3
330,Flygon,https://pokemondb.net/pokedex/flygon,Ground,Dragon,2.0,82.0,80,270,364,100,184,328,80,148,284,80,148,284,80,148,284,100,184,328,520,1082,1872,False,3
331,Cacnea,https://pokemondb.net/pokedex/cacnea,Grass,None,0.4,51.3,50,210,304,85,157,295,40,76,196,85,157,295,40,76,196,35,67,185,335,743,1471,False,3
332,Cacturne,https://pokemondb.net/pokedex/cacturne,Grass,Dark,1.3,77.4,70,250,344,115,211,361,60,112,240,115,211,361,60,112,240,55,103,229,475,999,1775,False,3
333,Swablu,https://pokemondb.net/pokedex/swablu,Normal,Flying,0.4,1.2,45,200,294,40,76,196,60,112,240,40,76,196,75,139,273,50,94,218,310,697,1417,False,3
334,Altaria,https://pokemondb.net/pokedex/altaria,Dragon,Flying,1.1,20.6,75,260,354,70,130,262,90,166,306,70,130,262,105,193,339,80,148,284,490,1027,1807,False,3
335,Zangoose,https://pokemondb.net/pokedex/zangoose,Normal,None,1.3,40.3,73,256,350,115,211,361,60,112,240,60,112,240,60,112,240,90,166,306,458,969,1737,False,3
336,Seviper,https://pokemondb.net/pokedex/seviper,Poison,None,2.7,52.5,73,256,350,100,184,328,60,112,240,100,184,328,60,112,240,65,121,251,458,969,1737,False,3
337,Lunatone,https://pokemondb.net/pokedex/lunatone,Rock,Psychic,1.0,168.0,90,290,384,55,103,229,65,121,251,95,175,317,85,157,295,70,130,262,460,976,1738,False,3
338,Solrock,https://pokemondb.net/pokedex/solrock,Rock,Psychic,1.2,154.0,90,290,384,95,175,317,85,157,295,55,103,229,65,121,251,70,130,262,460,976,1738,False,3
339,Barboach,https://pokemondb.net/pokedex/barboach,Water,Ground,0.4,1.9,50,210,304,48,90,214,43,81,203,46,87,210,41,78,199,60,112,240,288,658,1370,False,3
340,Whiscash,https://pokemondb.net/pokedex/whiscash,Water,Ground,0.9,23.6,110,330,424,78,144,280,73,135,269,76,141,276,71,132,265,60,112,240,468,994,1754,False,3
341,Corphish,https://pokemondb.net/pokedex/corphish,Water,None,0.6,11.5,43,196,290,80,148,284,65,121,251,50,94,218,35,67,185,35,67,185,308,693,1413,False,3
342,Crawdaunt,https://pokemondb.net/pokedex/crawdaunt,Water,Dark,1.1,32.8,63,236,330,120,220,372,85,157,295,90,166,306,55,103,229,55,103,229,468,985,1761,False,3
343,Baltoy,https://pokemondb.net/pokedex/baltoy,Ground,Psychic,0.5,21.5,40,190,284,40,76,196,55,103,229,40,76,196,70,130,262,55,103,229,300,678,1396,False,3
344,Claydol,https://pokemondb.net/pokedex/claydol,Ground,Psychic,1.5,108.0,60,230,324,70,130,262,105,193,339,70,130,262,120,220,372,75,139,273,500,1042,1832,False,3
345,Lileep,https://pokemondb.net/pokedex/lileep,Rock,Grass,1.0,23.8,66,242,336,41,78,199,77,143,278,61,114,243,87,161,300,23,45,159,355,783,1515,False,3
346,Cradily,https://pokemondb.net/pokedex/cradily,Rock,Grass,1.5,60.4,86,282,376,81,150,287,97,179,322,81,150,287,107,197,344,43,81,203,495,1039,1819,False,3
347,Anorith,https://pokemondb.net/pokedex/anorith,Rock,Bug,0.7,12.5,45,200,294,95,175,317,50,94,218,40,76,196,50,94,218,75,139,273,355,778,1516,False,3
348,Armaldo,https://pokemondb.net/pokedex/armaldo,Rock,Bug,1.5,68.2,75,260,354,125,229,383,100,184,328,70,130,262,80,148,284,45,85,207,495,1036,1818,False,3
349,Feebas,https://pokemondb.net/pokedex/feebas,Water,None,0.6,7.4,20,150,244,15,31,141,20,40,152,10,22,130,55,103,229,80,148,284,200,494,1180,False,3
350,Milotic,https://pokemondb.net/pokedex/milotic,Water,None,6.2,162.0,95,300,394,60,112,240,79,146,282,100,184,328,125,229,383,81,150,287,540,1121,1914,False,3
351,Castform,https://pokemondb.net/pokedex/castform,Normal,None,0.3,0.8,70,250,344,70,130,262,70,130,262,70,130,262,70,130,262,70,130,262,420,900,1654,False,3
352,Kecleon,https://pokemondb.net/pokedex/kecleon,Normal,None,1.0,22.0,60,230,324,90,166,306,70,130,262,60,112,240,120,220,372,40,76,196,440,934,1700,False,3
353,Shuppet,https://pokemondb.net/pokedex/shuppet,Ghost,None,0.6,2.3,44,198,292,75,139,273,35,67,185,63,117,247,33,63,181,45,85,207,295,669,1385,False,3
354,Banette,https://pokemondb.net/pokedex/banette,Ghost,None,1.1,12.5,64,238,332,115,211,361,65,121,251,83,153,291,63,117,247,65,121,251,455,961,1733,False,3
355,Duskull,https://pokemondb.net/pokedex/duskull,Ghost,None,0.8,15.0,20,150,244,40,76,196,90,166,306,30,58,174,90,166,306,25,49,163,295,665,1389,False,3
356,Dusclops,https://pokemondb.net/pokedex/dusclops,Ghost,None,1.6,30.6,40,190,284,70,130,262,130,238,394,60,112,240,130,238,394,25,49,163,455,957,1737,False,3
357,Tropius,https://pokemondb.net/pokedex/tropius,Grass,Flying,2.0,100.0,99,308,402,68,126,258,83,153,291,72,134,267,87,161,300,51,96,221,460,978,1739,False,3
358,Chimecho,https://pokemondb.net/pokedex/chimecho,Psychic,None,0.6,1.0,75,260,354,50,94,218,80,148,284,95,175,317,90,166,306,65,121,251,455,964,1730,False,3
359,Absol,https://pokemondb.net/pokedex/absol,Dark,None,1.2,47.0,65,240,334,130,238,394,60,112,240,75,139,273,60,112,240,75,139,273,465,980,1754,False,3
360,Wynaut,https://pokemondb.net/pokedex/wynaut,Psychic,None,0.6,14.0,95,300,394,23,45,159,48,90,214,23,45,159,48,90,214,23,45,159,260,615,1299,False,3
361,Snorunt,https://pokemondb.net/pokedex/snorunt,Ice,None,0.7,16.8,50,210,304,50,94,218,50,94,218,50,94,218,50,94,218,50,94,218,300,680,1394,False,3
362,Glalie,https://pokemondb.net/pokedex/glalie,Ice,None,1.5,256.5,80,270,364,80,148,284,80,148,284,80,148,284,80,148,284,80,148,284,480,1010,1784,False,3
363,Spheal,https://pokemondb.net/pokedex/spheal,Ice,Water,0.8,39.5,70,250,344,40,76,196,50,94,218,55,103,229,50,94,218,25,49,163,290,666,1368,False,3
364,Sealeo,https://pokemondb.net/pokedex/sealeo,Ice,Water,1.1,87.6,90,290,384,60,112,240,70,130,262,75,139,273,70,130,262,45,85,207,410,886,1628,False,3
365,Walrein,https://pokemondb.net/pokedex/walrein,Ice,Water,1.4,150.6,110,330,424,80,148,284,90,166,306,95,175,317,90,166,306,65,121,251,530,1106,1888,False,3
366,Clamperl,https://pokemondb.net/pokedex/clamperl,Water,None,0.4,52.5,35,180,274,64,119,249,85,157,295,74,137,271,55,103,229,32,62,179,345,758,1497,False,3
367,Huntail,https://pokemondb.net/pokedex/huntail,Water,None,1.7,27.0,55,220,314,104,191,337,105,193,339,94,173,315,75,139,273,52,98,223,485,1014,1801,False,3
368,Gorebyss,https://pokemondb.net/pokedex/gorebyss,Water,None,1.8,22.6,55,220,314,84,155,293,105,193,339,114,209,359,75,139,273,52,98,223,485,1014,1801,False,3
369,Relicanth,https://pokemondb.net/pokedex/relicanth,Water,Rock,1.0,23.4,100,310,404,90,166,306,130,238,394,45,85,207,65,121,251,55,103,229,485,1023,1791,False,3
370,Luvdisc,https://pokemondb.net/pokedex/luvdisc,Water,None,0.6,8.7,43,196,290,30,58,174,55,103,229,40,76,196,65,121,251,97,179,322,330,733,1462,False,3
371,Bagon,https://pokemondb.net/pokedex/bagon,Dragon,None,0.6,42.1,45,200,294,75,139,273,60,112,240,40,76,196,30,58,174,50,94,218,300,679,1395,False,3
372,Shelgon,https://pokemondb.net/pokedex/shelgon,Dragon,None,1.1,110.5,65,240,334,95,175,317,100,184,328,60,112,240,50,94,218,50,94,218,420,899,1655,False,3
373,Salamence,https://pokemondb.net/pokedex/salamence,Dragon,Flying,1.5,102.6,95,300,394,135,247,405,80,148,284,110,202,350,80,148,284,100,184,328,600,1229,2045,False,3
374,Beldum,https://pokemondb.net/pokedex/beldum,Steel,Psychic,0.6,95.2,40,190,284,55,103,229,80,148,284,35,67,185,60,112,240,30,58,174,300,678,1396,False,3
375,Metang,https://pokemondb.net/pokedex/metang,Steel,Psychic,1.2,202.5,60,230,324,75,139,273,100,184,328,55,103,229,80,148,284,50,94,218,420,898,1656,False,3
376,Metagross,https://pokemondb.net/pokedex/metagross,Steel,Psychic,1.6,550.0,80,270,364,135,247,405,130,238,394,95,175,317,90,166,306,70,130,262,600,1226,2048,False,3
377,Regirock,https://pokemondb.net/pokedex/regirock,Rock,None,1.7,230.0,80,270,364,100,184,328,200,364,548,50,94,218,100,184,328,50,94,218,580,1190,2004,True,3
378,Regice,https://pokemondb.net/pokedex/regice,Ice,None,1.8,175.0,80,270,364,50,94,218,100,184,328,100,184,328,200,364,548,50,94,218,580,1190,2004,True,3
379,Registeel,https://pokemondb.net/pokedex/registeel,Steel,None,1.9,205.0,80,270,364,75,139,273,150,274,438,75,139,273,150,274,438,50,94,218,580,1190,2004,True,3
380,Latias,https://pokemondb.net/pokedex/latias,Dragon,Psychic,1.4,40.0,80,270,364,80,148,284,90,166,306,110,202,350,130,238,394,110,202,350,600,1226,2048,True,3
381,Latios,https://pokemondb.net/pokedex/latios,Dragon,Psychic,2.0,60.0,80,270,364,90,166,306,80,148,284,130,238,394,110,202,350,110,202,350,600,1226,2048,True,3
382,Kyogre,https://pokemondb.net/pokedex/kyogre,Water,None,4.5,352.0,100,310,404,100,184,328,90,166,306,150,274,438,140,256,416,90,166,306,670,1356,2198,True,3
383,Groudon,https://pokemondb.net/pokedex/groudon,Ground,None,3.5,950.0,100,310,404,150,274,438,140,256,416,100,184,328,90,166,306,90,166,306,670,1356,2198,True,3
384,Rayquaza,https://pokemondb.net/pokedex/rayquaza,Dragon,Flying,7.0,206.5,105,320,414,150,274,438,90,166,306,150,274,438,90,166,306,95,175,317,680,1375,2219,True,3
385,Jirachi,https://pokemondb.net/pokedex/jirachi,Steel,Psychic,0.3,1.1,100,310,404,100,184,328,100,184,328,100,184,328,100,184,328,100,184,328,600,1230,2044,True,3
386,Deoxys,https://pokemondb.net/pokedex/deoxys,Psychic,None,1.7,60.8,50,210,304,150,274,438,50,94,218,150,274,438,50,94,218,150,274,438,600,1220,2054,True,3
387,Turtwig,https://pokemondb.net/pokedex/turtwig,Grass,None,0.4,10.2,55,220,314,68,126,258,64,119,249,45,85,207,55,103,229,31,60,177,318,713,1434,False,4
388,Grotle,https://pokemondb.net/pokedex/grotle,Grass,None,1.1,97.0,75,260,354,89,164,304,85,157,295,55,103,229,65,121,251,36,69,188,405,874,1621,False,4
389,Torterra,https://pokemondb.net/pokedex/torterra,Grass,Ground,2.2,310.0,95,300,394,109,200,348,105,193,339,75,139,273,85,157,295,56,105,232,525,1094,1881,False,4
390,Chimchar,https://pokemondb.net/pokedex/chimchar,Fire,None,0.5,6.2,44,198,292,58,108,236,44,83,205,58,108,236,44,83,205,61,114,243,309,694,1417,False,4
391,Monferno,https://pokemondb.net/pokedex/monferno,Fire,Fighting,0.9,22.0,64,238,332,78,144,280,52,98,223,78,144,280,52,98,223,81,150,287,405,872,1625,False,4
392,Infernape,https://pokemondb.net/pokedex/infernape,Fire,Fighting,1.2,55.0,76,262,356,104,191,337,71,132,265,104,191,337,71,132,265,108,198,346,534,1106,1906,False,4
393,Piplup,https://pokemondb.net/pokedex/piplup,Water,None,0.4,5.2,53,216,310,51,96,221,53,99,225,61,114,243,56,105,232,40,76,196,314,706,1427,False,4
394,Prinplup,https://pokemondb.net/pokedex/prinplup,Water,None,0.8,23.0,64,238,332,66,123,254,68,126,258,81,150,287,76,141,276,50,94,218,405,872,1625,False,4
395,Empoleon,https://pokemondb.net/pokedex/empoleon,Water,Steel,1.7,84.5,84,278,372,86,159,298,88,162,302,111,204,353,101,186,331,60,112,240,530,1101,1896,False,4
396,Starly,https://pokemondb.net/pokedex/starly,Normal,Flying,0.3,2.0,40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,60,112,240,245,579,1275,False,4
397,Staravia,https://pokemondb.net/pokedex/staravia,Normal,Flying,0.6,15.5,55,220,314,75,139,273,50,94,218,40,76,196,40,76,196,80,148,284,340,753,1481,False,4
398,Staraptor,https://pokemondb.net/pokedex/staraptor,Normal,Flying,1.2,24.9,85,280,374,120,220,372,70,130,262,50,94,218,60,112,240,100,184,328,485,1020,1794,False,4
399,Bidoof,https://pokemondb.net/pokedex/bidoof,Normal,None,0.5,20.0,59,228,322,45,85,207,40,76,196,35,67,185,40,76,196,31,60,177,250,592,1283,False,4
400,Bibarel,https://pokemondb.net/pokedex/bibarel,Normal,Water,1.0,31.5,79,268,362,85,157,295,60,112,240,55,103,229,60,112,240,71,132,265,410,884,1631,False,4
401,Kricketot,https://pokemondb.net/pokedex/kricketot,Bug,None,0.3,2.2,37,184,278,25,49,163,41,78,199,25,49,163,41,78,199,25,49,163,194,487,1165,False,4
402,Kricketune,https://pokemondb.net/pokedex/kricketune,Bug,None,1.0,25.5,77,264,358,85,157,295,51,96,221,55,103,229,51,96,221,65,121,251,384,837,1575,False,4
403,Shinx,https://pokemondb.net/pokedex/shinx,Electric,None,0.5,9.5,45,200,294,65,121,251,34,65,183,40,76,196,34,65,183,45,85,207,263,612,1314,False,4
404,Luxio,https://pokemondb.net/pokedex/luxio,Electric,None,0.9,30.5,60,230,324,85,157,295,49,92,216,60,112,240,49,92,216,60,112,240,363,795,1531,False,4
405,Luxray,https://pokemondb.net/pokedex/luxray,Electric,None,1.4,42.0,80,270,364,120,220,372,79,146,282,95,175,317,79,146,282,70,130,262,523,1087,1879,False,4
406,Budew,https://pokemondb.net/pokedex/budew,Grass,Poison,0.2,1.2,40,190,284,30,58,174,35,67,185,50,94,218,70,130,262,55,103,229,280,642,1352,False,4
407,Roserade,https://pokemondb.net/pokedex/roserade,Grass,Poison,0.9,14.5,60,230,324,70,130,262,65,121,251,125,229,383,105,193,339,90,166,306,515,1069,1865,False,4
408,Cranidos,https://pokemondb.net/pokedex/cranidos,Rock,None,0.9,31.5,67,244,338,125,229,383,40,76,196,30,58,174,30,58,174,58,108,236,350,773,1501,False,4
409,Rampardos,https://pokemondb.net/pokedex/rampardos,Rock,None,1.6,102.5,97,304,398,165,301,471,60,112,240,65,121,251,50,94,218,58,108,236,495,1040,1814,False,4
410,Shieldon,https://pokemondb.net/pokedex/shieldon,Rock,Steel,0.5,57.0,30,170,264,42,80,201,118,216,368,42,80,201,88,162,302,30,58,174,350,766,1510,False,4
411,Bastiodon,https://pokemondb.net/pokedex/bastiodon,Rock,Steel,1.3,149.5,60,230,324,52,98,223,168,306,478,47,89,212,138,252,412,30,58,174,495,1033,1823,False,4
412,Burmy,https://pokemondb.net/pokedex/burmy,Bug,None,0.2,3.4,40,190,284,29,56,172,45,85,207,29,56,172,45,85,207,36,69,188,224,541,1230,False,4
413,Wormadam,https://pokemondb.net/pokedex/wormadam,Bug,Grass,0.5,6.5,60,230,324,59,110,238,85,157,295,79,146,282,105,193,339,36,69,188,424,905,1666,False,4
414,Mothim,https://pokemondb.net/pokedex/mothim,Bug,Flying,0.9,23.3,70,250,344,94,173,315,50,94,218,94,173,315,50,94,218,66,123,254,424,907,1664,False,4
415,Combee,https://pokemondb.net/pokedex/combee,Bug,Flying,0.3,5.5,30,170,264,30,58,174,42,80,201,30,58,174,42,80,201,70,130,262,244,576,1276,False,4
416,Vespiquen,https://pokemondb.net/pokedex/vespiquen,Bug,Flying,1.2,38.5,70,250,344,80,148,284,102,188,333,80,148,284,102,188,333,40,76,196,474,998,1774,False,4
417,Pachirisu,https://pokemondb.net/pokedex/pachirisu,Electric,None,0.4,3.9,60,230,324,45,85,207,70,130,262,45,85,207,90,166,306,95,175,317,405,871,1623,False,4
418,Buizel,https://pokemondb.net/pokedex/buizel,Water,None,0.7,29.5,55,220,314,65,121,251,35,67,185,60,112,240,30,58,174,85,157,295,330,735,1459,False,4
419,Floatzel,https://pokemondb.net/pokedex/floatzel,Water,None,1.1,33.5,85,280,374,105,193,339,55,103,229,85,157,295,50,94,218,115,211,361,495,1038,1816,False,4
420,Cherubi,https://pokemondb.net/pokedex/cherubi,Grass,None,0.4,3.3,45,200,294,35,67,185,45,85,207,62,116,245,53,99,225,35,67,185,275,634,1341,False,4
421,Cherrim,https://pokemondb.net/pokedex/cherrim,Grass,None,0.5,9.3,70,250,344,60,112,240,70,130,262,87,161,300,78,144,280,85,157,295,450,954,1721,False,4
422,Shellos,https://pokemondb.net/pokedex/shellos,Water,None,0.3,6.3,76,262,356,48,90,214,48,90,214,57,107,234,62,116,245,34,65,183,325,730,1446,False,4
423,Gastrodon,https://pokemondb.net/pokedex/gastrodon,Water,Ground,0.9,29.9,111,332,426,83,153,291,68,126,258,92,170,311,82,152,289,39,74,194,475,1007,1769,False,4
424,Ambipom,https://pokemondb.net/pokedex/ambipom,Normal,None,1.2,20.3,75,260,354,100,184,328,66,123,254,60,112,240,66,123,254,115,211,361,482,1013,1791,False,4
425,Drifloon,https://pokemondb.net/pokedex/drifloon,Ghost,Flying,0.4,1.2,90,290,384,50,94,218,34,65,183,60,112,240,44,83,205,70,130,262,348,774,1492,False,4
426,Drifblim,https://pokemondb.net/pokedex/drifblim,Ghost,Flying,1.2,15.0,150,410,504,80,148,284,44,83,205,90,166,306,54,101,227,80,148,284,498,1056,1810,False,4
427,Buneary,https://pokemondb.net/pokedex/buneary,Normal,None,0.4,5.5,55,220,314,66,123,254,44,83,205,44,83,205,56,105,232,85,157,295,350,771,1505,False,4
428,Lopunny,https://pokemondb.net/pokedex/lopunny,Normal,None,1.2,33.3,65,240,334,76,141,276,84,155,293,54,101,227,96,177,320,105,193,339,480,1007,1789,False,4
429,Mismagius,https://pokemondb.net/pokedex/mismagius,Ghost,None,0.9,4.4,60,230,324,60,112,240,60,112,240,105,193,339,105,193,339,105,193,339,495,1033,1821,False,4
430,Honchkrow,https://pokemondb.net/pokedex/honchkrow,Dark,Flying,0.9,27.3,100,310,404,125,229,383,52,98,223,105,193,339,52,98,223,71,132,265,505,1060,1837,False,4
431,Glameow,https://pokemondb.net/pokedex/glameow,Normal,None,0.5,3.9,49,208,302,55,103,229,42,80,201,42,80,201,37,71,190,85,157,295,310,699,1418,False,4
432,Purugly,https://pokemondb.net/pokedex/purugly,Normal,None,1.0,43.8,71,252,346,82,152,289,64,119,249,64,119,249,59,110,238,112,206,355,452,958,1726,False,4
433,Chingling,https://pokemondb.net/pokedex/chingling,Psychic,None,0.2,0.6,45,200,294,30,58,174,50,94,218,65,121,251,50,94,218,45,85,207,285,652,1362,False,4
434,Stunky,https://pokemondb.net/pokedex/stunky,Poison,Dark,0.4,19.2,63,236,330,63,117,247,47,89,212,41,78,199,41,78,199,74,137,271,329,735,1458,False,4
435,Skuntank,https://pokemondb.net/pokedex/skuntank,Poison,Dark,1.0,38.0,103,316,410,93,171,313,67,125,256,71,132,265,61,114,243,84,155,293,479,1013,1780,False,4
436,Bronzor,https://pokemondb.net/pokedex/bronzor,Steel,Psychic,0.5,60.5,57,224,318,24,47,161,86,159,298,24,47,161,86,159,298,23,45,159,300,681,1395,False,4
437,Bronzong,https://pokemondb.net/pokedex/bronzong,Steel,Psychic,1.3,187.0,67,244,338,89,164,304,116,213,364,79,146,282,116,213,364,33,63,181,500,1043,1833,False,4
438,Bonsly,https://pokemondb.net/pokedex/bonsly,Rock,None,0.5,15.0,50,210,304,80,148,284,95,175,317,10,22,130,45,85,207,10,22,130,290,662,1372,False,4
439,Mime-Jr,https://pokemondb.net/pokedex/mime-jr,Psychic,Fairy,0.6,13.0,20,150,244,25,49,163,45,85,207,70,130,262,90,166,306,60,112,240,310,692,1422,False,4
440,Happiny,https://pokemondb.net/pokedex/happiny,Normal,None,0.6,24.4,100,310,404,5,13,119,5,13,119,15,31,141,65,121,251,30,58,174,220,546,1208,False,4
441,Chatot,https://pokemondb.net/pokedex/chatot,Normal,Flying,0.5,1.9,76,262,356,65,121,251,45,85,207,92,170,311,42,80,201,91,168,309,411,886,1635,False,4
442,Spiritomb,https://pokemondb.net/pokedex/spiritomb,Ghost,Dark,1.0,108.0,50,210,304,92,170,311,108,198,346,92,170,311,108,198,346,35,67,185,485,1013,1803,False,4
443,Gible,https://pokemondb.net/pokedex/gible,Dragon,Ground,0.7,20.5,58,226,320,70,130,262,45,85,207,40,76,196,45,85,207,42,80,201,300,682,1393,False,4
444,Gabite,https://pokemondb.net/pokedex/gabite,Dragon,Ground,1.4,56.0,68,246,340,90,166,306,65,121,251,50,94,218,55,103,229,82,152,289,410,882,1633,False,4
445,Garchomp,https://pokemondb.net/pokedex/garchomp,Dragon,Ground,1.9,95.0,108,326,420,130,238,394,95,175,317,80,148,284,85,157,295,102,188,333,600,1232,2043,False,4
446,Munchlax,https://pokemondb.net/pokedex/munchlax,Normal,None,0.6,105.0,135,380,474,85,157,295,40,76,196,40,76,196,85,157,295,5,13,119,390,859,1575,False,4
447,Riolu,https://pokemondb.net/pokedex/riolu,Fighting,None,0.7,20.2,40,190,284,70,130,262,40,76,196,35,67,185,40,76,196,60,112,240,285,651,1363,False,4
448,Lucario,https://pokemondb.net/pokedex/lucario,Fighting,Steel,1.2,54.0,70,250,344,110,202,350,70,130,262,115,211,361,70,130,262,90,166,306,525,1089,1885,False,4
449,Hippopotas,https://pokemondb.net/pokedex/hippopotas,Ground,None,0.8,49.5,68,246,340,72,134,267,78,144,280,38,72,192,42,80,201,32,62,179,330,738,1459,False,4
450,Hippowdon,https://pokemondb.net/pokedex/hippowdon,Ground,None,2.0,300.0,108,326,420,112,206,355,118,216,368,68,126,258,72,134,267,47,89,212,525,1097,1880,False,4
451,Skorupi,https://pokemondb.net/pokedex/skorupi,Poison,Bug,0.8,12.0,40,190,284,50,94,218,90,166,306,30,58,174,55,103,229,65,121,251,330,732,1462,False,4
452,Drapion,https://pokemondb.net/pokedex/drapion,Poison,Dark,1.3,61.5,70,250,344,90,166,306,110,202,350,60,112,240,75,139,273,95,175,317,500,1044,1830,False,4
453,Croagunk,https://pokemondb.net/pokedex/croagunk,Poison,Fighting,0.7,23.0,48,206,300,61,114,243,40,76,196,61,114,243,40,76,196,50,94,218,300,680,1396,False,4
454,Toxicroak,https://pokemondb.net/pokedex/toxicroak,Poison,Fighting,1.3,44.4,83,276,370,106,195,342,65,121,251,86,159,298,65,121,251,85,157,295,490,1029,1807,False,4
455,Carnivine,https://pokemondb.net/pokedex/carnivine,Grass,None,1.4,27.0,74,258,352,100,184,328,72,134,267,90,166,306,72,134,267,46,87,210,454,963,1730,False,4
456,Finneon,https://pokemondb.net/pokedex/finneon,Water,None,0.4,7.0,49,208,302,49,92,216,56,105,232,49,92,216,61,114,243,66,123,254,330,734,1463,False,4
457,Lumineon,https://pokemondb.net/pokedex/lumineon,Water,None,1.2,24.0,69,248,342,69,128,260,76,141,276,69,128,260,86,159,298,91,168,309,460,972,1745,False,4
458,Mantyke,https://pokemondb.net/pokedex/mantyke,Water,Flying,1.0,65.0,45,200,294,20,40,152,50,94,218,60,112,240,120,220,372,50,94,218,345,760,1494,False,4
459,Snover,https://pokemondb.net/pokedex/snover,Grass,Ice,1.0,50.5,60,230,324,62,116,245,50,94,218,62,116,245,60,112,240,40,76,196,334,744,1468,False,4
